libvdpau-va-gl-0.4.2_2: 282KB
upower-1.90.0_1: 284KB
inetutils-ftp-2.2_1: 286KB
libquadmath-12.2.0_1: 286KB
liburcu-0.12.2_1: 287KB
python3-certifi-2022.09.24_2: 287KB
libaccounts-qt5-1.16_2: 288KB
usbutils-014_2: 288KB
iw-5.19_1: 289KB
signon-plugin-oauth2-0.24_2: 289KB
libusb-devel-1.0.26_1: 290KB
duktape-2.7.0_1: 291KB
libgomp-12.2.0_1: 291KB
libxkbcommon-1.4.1_1: 292KB
lua53-lgi-0.9.2_4: 292KB
lsof-4.96.3_1: 294KB
iana-etc-20221122_1: 295KB
gspell-1.11.1_1: 300KB
ufw-0.36.1_3: 301KB
libcxxabi-12.0.1_4: 302KB
libmodplug-0.8.9.0_1: 302KB
tslib-1.22_1: 303KB
gtk-engine-murrine-0.98.2_7: 304KB
libjasper-2.0.25_1: 306KB
pulseaudio-qt-1.3_1: 306KB
dmraid-1.0.0.rc16.3_12: 307KB
gperf-3.1_3: 308KB
libxbps-0.59.1_7: 308KB
maim-5.7.4_5: 309KB
dunst-1.9.0_1: 310KB
qt5-test-5.15.7+20221119_1: 310KB
qt6-sql-6.4.0_1: 311KB
dialog-1.3.20220728_1: 312KB
fuse3-3.11.0_1: 312KB
dtc-1.6.1_1: 314KB
rhash-1.4.3_2: 314KB
libsoxr-0.1.3_2: 317KB
nspr-4.35_1: 317KB
surfraw-2.3.0_2: 317KB
atkmm-2.28.2_1: 318KB
libnuspell-5.0.1_3: 318KB
xdg-utils-1.1.3_5: 320KB
mujs-1.2.0_2: 321KB
opencv-4.6.0_2: 323KB
python3-parso-0.8.3_2: 327KB
hunspell-1.7.1_1: 328KB
libzbar-0.23.1_6: 328KB
libpcap-1.10.1_1: 330KB
libreadline8-8.1.000_1: 331KB
unrar-6.2.2_1: 333KB
less-608_1: 334KB
libluv-1.43.0.0_1: 334KB
eudev-libudev-devel-3.2.11_1: 335KB
libgpgme-1.18.0_2: 335KB
htop-3.2.1_1: 336KB
fuse-2.9.9_1: 339KB
kauth-5.101.0_1: 340KB
knotifyconfig-5.101.0_1: 341KB
dbus-libs-1.14.4_1: 342KB
glu-9.0.2_2: 342KB
neofetch-7.1.0_2: 346KB
libblkid-2.38.1_1: 347KB
libksba-1.6.0_1: 347KB
libxkbcommon-devel-1.4.1_1: 347KB
libvamp-plugin-sdk-2.10.0_1: 348KB
libfreeglut-3.2.2_1: 349KB
python3-dbus-1.2.18_3: 349KB
avahi-libs-0.8_2: 351KB
libflac-1.3.4_1: 352KB
signon-ui-0.15_1: 353KB
libidn2-2.3.3_1: 354KB
libsodium-1.0.18_1: 356KB
mlt7-data-7.8.0_2: 357KB
libgme-0.6.3_1: 358KB
qt5-opengl-5.15.7+20221119_1: 358KB
lxdm-0.5.3_4: 361KB
qca-qt5-ossl-2.3.4_1: 366KB
lm_sensors-3.6.0_1: 374KB
font-adobe-utopia-type1-1.0.4_7: 375KB
gumbo-parser-0.10.1_3: 375KB
python3-PyQt5-sql-5.15.7_2: 375KB
libopenjpeg2-2.5.0_1: 376KB
opus-1.3.1_1: 376KB
pmount-0.9.23_7: 377KB
slop-7.6_2: 377KB
ferm-2.7_1: 378KB
gifsicle-1.93_3: 382KB
kactivities5-5.101.0_1: 383KB
libmount-2.38.1_1: 383KB
unzip-6.0_14: 383KB
lcms2-2.14_1: 394KB
libraptor-2.0.15_4: 394KB
python3-urllib3-1.26.12_1: 396KB
lxappearance-0.6.3_5: 397KB
ImageMagick-7.1.0.55_1: 398KB
libnice-0.1.19_1: 399KB
libxslt-1.1.37_2: 399KB
karchive-5.101.0_1: 400KB
kiconthemes-5.101.0_1: 405KB
libdrm-2.4.114_1: 405KB
texlive-latexmk-20210325_4: 405KB
libpwquality-1.4.5_1: 406KB
lzo-devel-2.10_2: 408KB
